"Tile Name","Tile Description",Id,"Parent Id"
"Identity & Deception","All issues and queries related to Identity & Deception, Hologram (Formerly Attivo).",18,0
Interoperability,"Issues with 3rd party applications not running, running slowly, crashes, fails to open etc.",21,42
"Installation flow","All issues related to installations, upgrades, uninstallations and downgrade of the Windows Agent.",22,42
Performance,"High system resource usage (RAM, CPU, Bandwidth, Disk Usage (I/O or storage consumption), boot time.",23,42
"Management Console","All issues and queries related to the Management Console, including On-Prem.",24,0
Mobile,"All issues and queries related to Singularity Mobile.",26,0
Features,"SentinelCTL, VSS, VDI / Citrix etc.",34,42
"Full Disk Scan (FDS)","Issues and queries related to Full Disk Scan.",35,34
VSS,"Issues and queries related to VSS - snapshots, timeouts, configuration etc.",38,34
"VDI / Citrix","Queries related to Agent configurations on VDI / Citrix servers.",39,34
Agent,"All issues and queries related to the SentinelOne Agent - Windows, macOS, Linux, K8.",41,0
"Windows Agent","Issues and queries related to the SentinelOne Windows Agent.",42,41
"macOS Agent","Issues and queries related to the SentinelOne macOS Agent.",43,41
"Linux Agent","Issues and queries related to the SentinelOne Linux Agent.",44,41
"Agent Stability","All issues related to Agent Stability such as - Agent disabled (crash), Database Corruption, Anti Tampering issue, Agent bypass etc.",46,42
"Detection related","Report a False Positive, False Negative (miss detection), questions on True Positives.",47,42
"Agent Communication","Agent failing to connect to the console, Proxy configuration.",48,42
"User Interface (UI)","User Interface (UI) not starting, typos, translation errors.",49,42
"System Stability","BSOD, Boot Loop, System Freeze.",50,42
"Fresh Installation / Deployment","Information on manual local installation, deployment, GPO and SCCM etc.",52,22
Uninstallation,"Removal of the Windows Agent locally or via a task from the Management Console.",53,22
Upgrade,"Upgrading Agents in various methods - Management Console task, GPO SCCM etc.",54,22
"Agent Operational State (Agent Disabled) - Agent Disabled by SentinelOne","Agent is disabled with the operational state ""Agent disabled by SentinelOne""",56,46
"Agent Operational State (Agent Disabled) - Database Corruption","Agent is disabled with the operational state ""Limited Functionality: Database Corruption""",57,46
"Bypass Agent","Report issues related to bypassing the Agent - disabling / uninstalling without a passphrase etc.",58,46
"Anti Tampering","Report on an Anti Tampering issue - non functional, not working as intended etc.",59,46
"False Positive","Report a false positive issue - files or events that are triggered, but are benign.",60,47
"False Negative (Miss-detection)","Report a False Negative issue - for cases where the Agent did not pick up on a malicious event.",61,47
"Do we detect (DWD)?","For questions related to the Agent's capability to handle certain threats, vulnerabilities, exploitations etc.",62,47
"True Positive","Queries related to a verified threat that appears in the console.",63,47
"Mitigating a threat","Queries on how to mitigate a verified threat in the console and available mitigation actions (Kill/Quarantine/Remediate/Rollback).",66,74
"Mitigation attempt failed","Mitigation results with a ""failed"" attempt.",67,74
"Mitigation attempt pending","Mitigation attempt remains on ""pending"" status.",68,74
Unquarantine,"Assistance with Unquarantine action.",69,74
Dashboard,"Issues and queries related to the Dashboard menu.",70,129
Visibility,"Issues and queries related to Deep Visibility and STAR rules.",71,129
"Ranger / Rogues","Issues and queries related Ranger / Rogues - asset discovery, configuration etc.",72,129
Sentinels,"Issues and queries related to Tags, policy, blacklist, exclusions, Network Control (firewall), Device Control, Package management and upgrade policy.",73,129
Incidents,"Issues and queries related to the Incidents View and Binary Vault.",74,129
Applications,"Issues and queries related to Application Risk / Application Vulnerability.",75,129
"Activity (Audit log)","Issues and queries related to the Activity (audit) log.",76,129
Reports,"Issues and queries related to Reports.",77,129
Automation,"Issues and queries related to the Automation menu - Remote Script Orchestration and Task management.",78,129
Settings,"Issues related to the Settings menu - Configuration, notifications, users & permissions, integrations (SSO, SMTP, SYSLOG), Policy Override, Account \ Site management, locations.",79,129
"Incident was automatically resolved","An incident in the console has been automatically changed to ""Resolved"" status.",80,74
"High CPU Utilization","Issues with high CPU utilization of the Agent.",81,357
"High Memory Utilization","Issues with high memory utilization of the Agent.",82,357
"High Network Usage (bandwidth)","Issues with high bandwidth usage by the Agent.",83,357
"High Disk Usage (I/O)","Issues with high disk usage (I/O) by the Agent.",84,357
"High Disk Usage (storage consumption)","Issues with the Agent taking up large amounts of disk space.",85,357
"3rd party application hanging","Issues with a 3rd party application hanging or running slowly.",86,21
"3rd party application blocked","Issues with a 3rd party application being blocked or fails to open.",87,21
"3rd party application crashed","Issues with a 3rd party application crashing.",88,21
BSOD,"Issues with a BSOD caused by the Agent.",89,50
"Boot Loop","Issues with the machine Boot Looping.",90,50
"System Freeze","Issues with the machine completely freezing during usage.",91,50
"Boot or log-in time","Issues with delayed boot or log-in time.",92,50
"Agent Connectivity issue","Agent fails to connect to the management console.",93,48
Proxy,"Windows Agent proxy configuration or issue.",94,48
"Agent UI not running","Agent UI does not load automatically or manually.",95,49
"Agent UI configuration","Issues and questions on various Agent UI configuration.",96,49
"Typo / Translation error","Report a Typo or Translation error found in the Agent UI.",97,49
"Tag Management","Issues and queries related to tag creation and management.",100,73
Policy,"Issues and queries related to policy management and configuration.",101,73
Blacklist,"Issues and queries related to the blacklist (block by hash).",102,73
Exclusions,"Issues and queries related to exclusion creation and configuration.",103,73
"Network Control","Issues and queries related to Firewall and Configurable Network Quarantine rule creation and configuration.",104,73
"Device Control","Issues and queries related to Device Control rules.",105,73
Packages,"Queries regarding package administration, request a new package etc.",106,73
"Auto Upgrade Policy",TBD,107,73
"Create new Device Control Rules","Issues and queries related to creating Device Control rules.",108,105
"Device Control rules not working","Device Control rules not working correctly.",109,105
"Device is incorrectly blocked","Device Control is blocking a device, even though it is whitelisted or not configured to be blocked.",110,105
"Deep Visibility","Issues and queries related to Deep Visibility - No results, slow performance, configuration, retention.",114,71
"STAR Rules (custom rules)","Issues and queries related to STAR rules - configuration, creation, rule not running as expected.",115,71
"Help creating a query","Assistance with creating a Deep Visibility query",116,114
"Deep Visibility shows no results","Deep Visibility queries are not returning any results.",117,114
"Deep Visibility running slow","Deep Visibility queries or usage is facing a performance issue.",118,114
"Data Retention","Queries regarding Deep Visibility Data Retention",119,114
"Deep Visibility Configuration","Queries regarding different aspects of Deep Visibility configuration settings.",120,114
"STAR rule creation and configuration","Issues and queries related to STAR rule creation.",121,115
"STAR rule not running as expected","STAR rule not running as expected - not generating alerts, not marking as threats etc.",122,115
"Ranger / Rogue Configuration","Issues and queries related to Ranger or Rogue configurations and settings.",123,72
"Ranger / Rogue discovering protected machines","Ranger or Rogues are discovering machines that are already protected by the Agent.",124,72
"Ranger / Rogue duplicate entries","Ranger or Rogues show multiple entries of the same unprotected machine.",125,72
"Ranger / Rogue not showing results","Ranger or Rogue are not discovering any networks or unprotected machines.",126,72
"Agent Upgrade","Issues and queries related to Agent Upgrade tasks from the management console.",127,350
"Agent Uninstallation","Issues and queries related to uninstalling Agents.",128,350
"Management Views","Issues and queries related to one of the Management main menus - Dashboard, Visibility, Sentinels, Incidents, Applications, Activity, Reports, Automation, Settings.",129,24
